# DerivedGeneralCategory.txt
#
# NOTE: This file is vendored for vm-js RegExp Unicode property escape tables.
# Unicode v17.0.0
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Format: <code point range> ; <General_Category value>
000041..00005A ; Cased_Letter
000061..00007A ; Cased_Letter
0000B5 ; Cased_Letter
0000C0..0000D6 ; Cased_Letter
0000D8..0000F6 ; Cased_Letter
0000F8..0001BA ; Cased_Letter
0001BC..0001BF ; Cased_Letter
0001C4..000293 ; Cased_Letter
000296..0002AF ; Cased_Letter
000370..000373 ; Cased_Letter
000376..000377 ; Cased_Letter
00037B..00037D ; Cased_Letter
00037F ; Cased_Letter
000386 ; Cased_Letter
000388..00038A ; Cased_Letter
00038C ; Cased_Letter
00038E..0003A1 ; Cased_Letter
0003A3..0003F5 ; Cased_Letter
0003F7..000481 ; Cased_Letter
00048A..00052F ; Cased_Letter
000531..000556 ; Cased_Letter
000560..000588 ; Cased_Letter
0010A0..0010C5 ; Cased_Letter
0010C7 ; Cased_Letter
0010CD ; Cased_Letter
0010D0..0010FA ; Cased_Letter
0010FD..0010FF ; Cased_Letter
0013A0..0013F5 ; Cased_Letter
0013F8..0013FD ; Cased_Letter
001C80..001C8A ; Cased_Letter
001C90..001CBA ; Cased_Letter
001CBD..001CBF ; Cased_Letter
001D00..001D2B ; Cased_Letter
001D6B..001D77 ; Cased_Letter
001D79..001D9A ; Cased_Letter
001E00..001F15 ; Cased_Letter
001F18..001F1D ; Cased_Letter
001F20..001F45 ; Cased_Letter
001F48..001F4D ; Cased_Letter
001F50..001F57 ; Cased_Letter
001F59 ; Cased_Letter
001F5B ; Cased_Letter
001F5D ; Cased_Letter
001F5F..001F7D ; Cased_Letter
001F80..001FB4 ; Cased_Letter
001FB6..001FBC ; Cased_Letter
001FBE ; Cased_Letter
001FC2..001FC4 ; Cased_Letter
001FC6..001FCC ; Cased_Letter
001FD0..001FD3 ; Cased_Letter
001FD6..001FDB ; Cased_Letter
001FE0..001FEC ; Cased_Letter
001FF2..001FF4 ; Cased_Letter
001FF6..001FFC ; Cased_Letter
002102 ; Cased_Letter
002107 ; Cased_Letter
00210A..002113 ; Cased_Letter
002115 ; Cased_Letter
002119..00211D ; Cased_Letter
002124 ; Cased_Letter
002126 ; Cased_Letter
002128 ; Cased_Letter
00212A..00212D ; Cased_Letter
00212F..002134 ; Cased_Letter
002139 ; Cased_Letter
00213C..00213F ; Cased_Letter
002145..002149 ; Cased_Letter
00214E ; Cased_Letter
002183..002184 ; Cased_Letter
002C00..002C7B ; Cased_Letter
002C7E..002CE4 ; Cased_Letter
002CEB..002CEE ; Cased_Letter
