# PropertyAliases.txt
#
# NOTE: This file is vendored for vm-js RegExp Unicode property escape tables.
# Unicode v17.0.0
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
AHex ; ASCII_Hex_Digit
ASCII ; ASCII
ASCII_Hex_Digit ; ASCII_Hex_Digit
Alpha ; Alphabetic
Alphabetic ; Alphabetic
Any ; Any
Assigned ; Assigned
Basic_Emoji ; Basic_Emoji
Bidi_C ; Bidi_Control
Bidi_Control ; Bidi_Control
Bidi_M ; Bidi_Mirrored
Bidi_Mirrored ; Bidi_Mirrored
CI ; Case_Ignorable
CWCF ; Changes_When_Casefolded
CWCM ; Changes_When_Casemapped
CWKCF ; Changes_When_NFKC_Casefolded
CWL ; Changes_When_Lowercased
CWT ; Changes_When_Titlecased
CWU ; Changes_When_Uppercased
Case_Ignorable ; Case_Ignorable
Cased ; Cased
Changes_When_Casefolded ; Changes_When_Casefolded
Changes_When_Casemapped ; Changes_When_Casemapped
Changes_When_Lowercased ; Changes_When_Lowercased
Changes_When_NFKC_Casefolded ; Changes_When_NFKC_Casefolded
Changes_When_Titlecased ; Changes_When_Titlecased
Changes_When_Uppercased ; Changes_When_Uppercased
DI ; Default_Ignorable_Code_Point
Dash ; Dash
Default_Ignorable_Code_Point ; Default_Ignorable_Code_Point
Dep ; Deprecated
Deprecated ; Deprecated
Dia ; Diacritic
Diacritic ; Diacritic
EBase ; Emoji_Modifier_Base
EComp ; Emoji_Component
EMod ; Emoji_Modifier
EPres ; Emoji_Presentation
Emoji ; Emoji
Emoji_Component ; Emoji_Component
Emoji_Keycap_Sequence ; Emoji_Keycap_Sequence
Emoji_Modifier ; Emoji_Modifier
Emoji_Modifier_Base ; Emoji_Modifier_Base
Emoji_Presentation ; Emoji_Presentation
Ext ; Extender
ExtPict ; Extended_Pictographic
Extended_Pictographic ; Extended_Pictographic
Extender ; Extender
General_Category ; General_Category
Gr_Base ; Grapheme_Base
Gr_Ext ; Grapheme_Extend
Grapheme_Base ; Grapheme_Base
Grapheme_Extend ; Grapheme_Extend
Hex ; Hex_Digit
Hex_Digit ; Hex_Digit
IDC ; ID_Continue
IDS ; ID_Start
IDSB ; IDS_Binary_Operator
IDST ; IDS_Trinary_Operator
IDS_Binary_Operator ; IDS_Binary_Operator
IDS_Trinary_Operator ; IDS_Trinary_Operator
ID_Continue ; ID_Continue
ID_Start ; ID_Start
Ideo ; Ideographic
Ideographic ; Ideographic
Join_C ; Join_Control
Join_Control ; Join_Control
LOE ; Logical_Order_Exception
Logical_Order_Exception ; Logical_Order_Exception
Lower ; Lowercase
Lowercase ; Lowercase
Math ; Math
NChar ; Noncharacter_Code_Point
Noncharacter_Code_Point ; Noncharacter_Code_Point
Pat_Syn ; Pattern_Syntax
Pat_WS ; Pattern_White_Space
Pattern_Syntax ; Pattern_Syntax
Pattern_White_Space ; Pattern_White_Space
QMark ; Quotation_Mark
Quotation_Mark ; Quotation_Mark
RGI_Emoji ; RGI_Emoji
RGI_Emoji_Flag_Sequence ; RGI_Emoji_Flag_Sequence
RGI_Emoji_Modifier_Sequence ; RGI_Emoji_Modifier_Sequence
RGI_Emoji_Tag_Sequence ; RGI_Emoji_Tag_Sequence
RGI_Emoji_ZWJ_Sequence ; RGI_Emoji_ZWJ_Sequence
RI ; Regional_Indicator
Radical ; Radical
Regional_Indicator ; Regional_Indicator
SD ; Soft_Dotted
STerm ; Sentence_Terminal
Script ; Script
Script_Extensions ; Script_Extensions
Sentence_Terminal ; Sentence_Terminal
Soft_Dotted ; Soft_Dotted
Term ; Terminal_Punctuation
Terminal_Punctuation ; Terminal_Punctuation
UIdeo ; Unified_Ideograph
Unified_Ideograph ; Unified_Ideograph
Upper ; Uppercase
Uppercase ; Uppercase
VS ; Variation_Selector
Variation_Selector ; Variation_Selector
White_Space ; White_Space
XIDC ; XID_Continue
XIDS ; XID_Start
XID_Continue ; XID_Continue
XID_Start ; XID_Start
gc ; General_Category
sc ; Script
scx ; Script_Extensions
space ; White_Space
