# PropertyValueAliases.txt
#
# NOTE: This file is vendored for vm-js RegExp Unicode property escape tables.
# Unicode v17.0.0
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Format: <property> ; <alias> ; <canonical value>
gc ; C ; Other
gc ; Cased_Letter ; Cased_Letter
gc ; Cc ; Control
gc ; Cf ; Format
gc ; Close_Punctuation ; Close_Punctuation
gc ; Cn ; Unassigned
gc ; Co ; Private_Use
gc ; Combining_Mark ; Mark
gc ; Connector_Punctuation ; Connector_Punctuation
gc ; Control ; Control
gc ; Cs ; Surrogate
gc ; Currency_Symbol ; Currency_Symbol
gc ; Dash_Punctuation ; Dash_Punctuation
gc ; Decimal_Number ; Decimal_Number
gc ; Enclosing_Mark ; Enclosing_Mark
gc ; Final_Punctuation ; Final_Punctuation
gc ; Format ; Format
gc ; Initial_Punctuation ; Initial_Punctuation
gc ; L ; Letter
gc ; LC ; Cased_Letter
gc ; Letter ; Letter
gc ; Letter_Number ; Letter_Number
gc ; Line_Separator ; Line_Separator
gc ; Ll ; Lowercase_Letter
gc ; Lm ; Modifier_Letter
gc ; Lo ; Other_Letter
gc ; Lowercase_Letter ; Lowercase_Letter
gc ; Lt ; Titlecase_Letter
gc ; Lu ; Uppercase_Letter
gc ; M ; Mark
gc ; Mark ; Mark
gc ; Math_Symbol ; Math_Symbol
gc ; Mc ; Spacing_Mark
gc ; Me ; Enclosing_Mark
gc ; Mn ; Nonspacing_Mark
gc ; Modifier_Letter ; Modifier_Letter
gc ; Modifier_Symbol ; Modifier_Symbol
gc ; N ; Number
gc ; Nd ; Decimal_Number
gc ; Nl ; Letter_Number
gc ; No ; Other_Number
gc ; Nonspacing_Mark ; Nonspacing_Mark
gc ; Number ; Number
gc ; Open_Punctuation ; Open_Punctuation
gc ; Other ; Other
gc ; Other_Letter ; Other_Letter
gc ; Other_Number ; Other_Number
gc ; Other_Punctuation ; Other_Punctuation
gc ; Other_Symbol ; Other_Symbol
gc ; P ; Punctuation
gc ; Paragraph_Separator ; Paragraph_Separator
gc ; Pc ; Connector_Punctuation
gc ; Pd ; Dash_Punctuation
gc ; Pe ; Close_Punctuation
gc ; Pf ; Final_Punctuation
gc ; Pi ; Initial_Punctuation
gc ; Po ; Other_Punctuation
gc ; Private_Use ; Private_Use
gc ; Ps ; Open_Punctuation
gc ; Punctuation ; Punctuation
gc ; S ; Symbol
gc ; Sc ; Currency_Symbol
gc ; Separator ; Separator
gc ; Sk ; Modifier_Symbol
gc ; Sm ; Math_Symbol
gc ; So ; Other_Symbol
gc ; Space_Separator ; Space_Separator
gc ; Spacing_Mark ; Spacing_Mark
gc ; Surrogate ; Surrogate
gc ; Symbol ; Symbol
gc ; Titlecase_Letter ; Titlecase_Letter
gc ; Unassigned ; Unassigned
gc ; Uppercase_Letter ; Uppercase_Letter
gc ; Z ; Separator
gc ; Zl ; Line_Separator
gc ; Zp ; Paragraph_Separator
gc ; Zs ; Space_Separator
gc ; cntrl ; Control
gc ; digit ; Decimal_Number
gc ; punct ; Punctuation
sc ; Adlam ; Adlam
sc ; Adlm ; Adlam
sc ; Aghb ; Caucasian_Albanian
sc ; Ahom ; Ahom
sc ; Anatolian_Hieroglyphs ; Anatolian_Hieroglyphs
sc ; Arab ; Arabic
sc ; Arabic ; Arabic
sc ; Armenian ; Armenian
sc ; Armi ; Imperial_Aramaic
sc ; Armn ; Armenian
sc ; Avestan ; Avestan
sc ; Avst ; Avestan
sc ; Bali ; Balinese
sc ; Balinese ; Balinese
sc ; Bamu ; Bamum
sc ; Bamum ; Bamum
sc ; Bass ; Bassa_Vah
sc ; Bassa_Vah ; Bassa_Vah
sc ; Batak ; Batak
sc ; Batk ; Batak
sc ; Beng ; Bengali
sc ; Bengali ; Bengali
sc ; Berf ; Beria_Erfe
sc ; Beria_Erfe ; Beria_Erfe
sc ; Bhaiksuki ; Bhaiksuki
sc ; Bhks ; Bhaiksuki
sc ; Bopo ; Bopomofo
sc ; Bopomofo ; Bopomofo
sc ; Brah ; Brahmi
sc ; Brahmi ; Brahmi
sc ; Brai ; Braille
sc ; Braille ; Braille
sc ; Bugi ; Buginese
sc ; Buginese ; Buginese
sc ; Buhd ; Buhid
sc ; Buhid ; Buhid
sc ; Cakm ; Chakma
sc ; Canadian_Aboriginal ; Canadian_Aboriginal
sc ; Cans ; Canadian_Aboriginal
sc ; Cari ; Carian
sc ; Carian ; Carian
sc ; Caucasian_Albanian ; Caucasian_Albanian
sc ; Chakma ; Chakma
sc ; Cham ; Cham
sc ; Cher ; Cherokee
sc ; Cherokee ; Cherokee
sc ; Chorasmian ; Chorasmian
sc ; Chrs ; Chorasmian
sc ; Common ; Common
sc ; Copt ; Coptic
sc ; Coptic ; Coptic
sc ; Cpmn ; Cypro_Minoan
sc ; Cprt ; Cypriot
sc ; Cuneiform ; Cuneiform
sc ; Cypriot ; Cypriot
sc ; Cypro_Minoan ; Cypro_Minoan
sc ; Cyrillic ; Cyrillic
sc ; Cyrl ; Cyrillic
sc ; Deseret ; Deseret
sc ; Deva ; Devanagari
sc ; Devanagari ; Devanagari
sc ; Diak ; Dives_Akuru
sc ; Dives_Akuru ; Dives_Akuru
sc ; Dogr ; Dogra
sc ; Dogra ; Dogra
sc ; Dsrt ; Deseret
sc ; Dupl ; Duployan
sc ; Duployan ; Duployan
sc ; Egyp ; Egyptian_Hieroglyphs
sc ; Egyptian_Hieroglyphs ; Egyptian_Hieroglyphs
sc ; Elba ; Elbasan
sc ; Elbasan ; Elbasan
sc ; Elym ; Elymaic
sc ; Elymaic ; Elymaic
sc ; Ethi ; Ethiopic
sc ; Ethiopic ; Ethiopic
sc ; Gara ; Garay
sc ; Garay ; Garay
sc ; Geor ; Georgian
sc ; Georgian ; Georgian
sc ; Glag ; Glagolitic
sc ; Glagolitic ; Glagolitic
sc ; Gong ; Gunjala_Gondi
sc ; Gonm ; Masaram_Gondi
sc ; Goth ; Gothic
sc ; Gothic ; Gothic
sc ; Gran ; Grantha
sc ; Grantha ; Grantha
sc ; Greek ; Greek
sc ; Grek ; Greek
sc ; Gujarati ; Gujarati
sc ; Gujr ; Gujarati
sc ; Gukh ; Gurung_Khema
sc ; Gunjala_Gondi ; Gunjala_Gondi
sc ; Gurmukhi ; Gurmukhi
sc ; Guru ; Gurmukhi
sc ; Gurung_Khema ; Gurung_Khema
sc ; Han ; Han
sc ; Hang ; Hangul
sc ; Hangul ; Hangul
sc ; Hani ; Han
sc ; Hanifi_Rohingya ; Hanifi_Rohingya
sc ; Hano ; Hanunoo
sc ; Hanunoo ; Hanunoo
sc ; Hatr ; Hatran
sc ; Hatran ; Hatran
sc ; Hebr ; Hebrew
sc ; Hebrew ; Hebrew
sc ; Hira ; Hiragana
sc ; Hiragana ; Hiragana
sc ; Hluw ; Anatolian_Hieroglyphs
sc ; Hmng ; Pahawh_Hmong
sc ; Hmnp ; Nyiakeng_Puachue_Hmong
sc ; Hung ; Old_Hungarian
sc ; Imperial_Aramaic ; Imperial_Aramaic
sc ; Inherited ; Inherited
sc ; Inscriptional_Pahlavi ; Inscriptional_Pahlavi
sc ; Inscriptional_Parthian ; Inscriptional_Parthian
sc ; Ital ; Old_Italic
sc ; Java ; Javanese
sc ; Javanese ; Javanese
sc ; Kaithi ; Kaithi
sc ; Kali ; Kayah_Li
sc ; Kana ; Katakana
sc ; Kannada ; Kannada
sc ; Katakana ; Katakana
sc ; Kawi ; Kawi
sc ; Kayah_Li ; Kayah_Li
sc ; Khar ; Kharoshthi
sc ; Kharoshthi ; Kharoshthi
sc ; Khitan_Small_Script ; Khitan_Small_Script
sc ; Khmer ; Khmer
sc ; Khmr ; Khmer
sc ; Khoj ; Khojki
sc ; Khojki ; Khojki
sc ; Khudawadi ; Khudawadi
sc ; Kirat_Rai ; Kirat_Rai
sc ; Kits ; Khitan_Small_Script
sc ; Knda ; Kannada
sc ; Krai ; Kirat_Rai
sc ; Kthi ; Kaithi
sc ; Lana ; Tai_Tham
sc ; Lao ; Lao
sc ; Laoo ; Lao
sc ; Latin ; Latin
sc ; Latn ; Latin
sc ; Lepc ; Lepcha
sc ; Lepcha ; Lepcha
sc ; Limb ; Limbu
sc ; Limbu ; Limbu
sc ; Lina ; Linear_A
sc ; Linb ; Linear_B
sc ; Linear_A ; Linear_A
sc ; Linear_B ; Linear_B
sc ; Lisu ; Lisu
sc ; Lyci ; Lycian
sc ; Lycian ; Lycian
sc ; Lydi ; Lydian
sc ; Lydian ; Lydian
sc ; Mahajani ; Mahajani
sc ; Mahj ; Mahajani
sc ; Maka ; Makasar
sc ; Makasar ; Makasar
sc ; Malayalam ; Malayalam
sc ; Mand ; Mandaic
sc ; Mandaic ; Mandaic
sc ; Mani ; Manichaean
sc ; Manichaean ; Manichaean
sc ; Marc ; Marchen
sc ; Marchen ; Marchen
sc ; Masaram_Gondi ; Masaram_Gondi
sc ; Medefaidrin ; Medefaidrin
sc ; Medf ; Medefaidrin
sc ; Meetei_Mayek ; Meetei_Mayek
sc ; Mend ; Mende_Kikakui
