# ScriptExtensions.txt
#
# NOTE: This file is vendored for vm-js RegExp Unicode property escape tables.
# Unicode v17.0.0
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Format: <code point range> ; <Script_Extensions value(s)>
00061F ; Adlam
000640 ; Adlam
00204F ; Adlam
002E41 ; Adlam
01E900..01E94B ; Adlam
01E950..01E959 ; Adlam
01E95E..01E95F ; Adlam
011700..01171A ; Ahom
01171D..01172B ; Ahom
011730..011746 ; Ahom
014400..014646 ; Anatolian_Hieroglyphs
000600..000604 ; Arabic
000606..0006DC ; Arabic
0006DE..0006FF ; Arabic
000750..00077F ; Arabic
000870..000891 ; Arabic
000897..0008E1 ; Arabic
0008E3..0008FF ; Arabic
00204F ; Arabic
002E41 ; Arabic
00FB50..00FDCF ; Arabic
00FDF0..00FDFF ; Arabic
00FE70..00FE74 ; Arabic
00FE76..00FEFC ; Arabic
0102E0..0102FB ; Arabic
010E60..010E7E ; Arabic
010EC2..010EC7 ; Arabic
010ED0..010ED8 ; Arabic
010EFA..010EFF ; Arabic
01EE00..01EE03 ; Arabic
01EE05..01EE1F ; Arabic
01EE21..01EE22 ; Arabic
01EE24 ; Arabic
01EE27 ; Arabic
01EE29..01EE32 ; Arabic
01EE34..01EE37 ; Arabic
01EE39 ; Arabic
01EE3B ; Arabic
01EE42 ; Arabic
01EE47 ; Arabic
01EE49 ; Arabic
01EE4B ; Arabic
01EE4D..01EE4F ; Arabic
01EE51..01EE52 ; Arabic
01EE54 ; Arabic
01EE57 ; Arabic
01EE59 ; Arabic
01EE5B ; Arabic
01EE5D ; Arabic
01EE5F ; Arabic
01EE61..01EE62 ; Arabic
01EE64 ; Arabic
01EE67..01EE6A ; Arabic
01EE6C..01EE72 ; Arabic
01EE74..01EE77 ; Arabic
01EE79..01EE7C ; Arabic
01EE7E ; Arabic
01EE80..01EE89 ; Arabic
01EE8B..01EE9B ; Arabic
01EEA1..01EEA3 ; Arabic
01EEA5..01EEA9 ; Arabic
01EEAB..01EEBB ; Arabic
01EEF0..01EEF1 ; Arabic
000308 ; Armenian
000531..000556 ; Armenian
000559..00058A ; Armenian
00058D..00058F ; Armenian
00FB13..00FB17 ; Armenian
0000B7 ; Avestan
002E30..002E31 ; Avestan
010B00..010B35 ; Avestan
010B39..010B3F ; Avestan
001B00..001B4C ; Balinese
001B4E..001B7F ; Balinese
00A6A0..00A6F7 ; Bamum
016800..016A38 ; Bamum
016AD0..016AED ; Bassa_Vah
016AF0..016AF5 ; Bassa_Vah
001BC0..001BF3 ; Batak
001BFC..001BFF ; Batak
0002BC ; Bengali
000951..000952 ; Bengali
000964..000965 ; Bengali
000980..000983 ; Bengali
000985..00098C ; Bengali
00098F..000990 ; Bengali
000993..0009A8 ; Bengali
0009AA..0009B0 ; Bengali
0009B2 ; Bengali
0009B6..0009B9 ; Bengali
0009BC..0009C4 ; Bengali
0009C7..0009C8 ; Bengali
0009CB..0009CE ; Bengali
0009D7 ; Bengali
0009DC..0009DD ; Bengali
0009DF..0009E3 ; Bengali
0009E6..0009FE ; Bengali
001CD0 ; Bengali
001CD2 ; Bengali
001CD5..001CD6 ; Bengali
001CD8 ; Bengali
001CE1 ; Bengali
001CEA ; Bengali
001CED ; Bengali
001CF2 ; Bengali
001CF5..001CF7 ; Bengali
00A8F1 ; Bengali
016EA0..016EB8 ; Beria_Erfe
016EBB..016ED3 ; Beria_Erfe
011C00..011C08 ; Bhaiksuki
011C0A..011C36 ; Bhaiksuki
011C38..011C45 ; Bhaiksuki
011C50..011C6C ; Bhaiksuki
0002C7 ; Bopomofo
0002C9..0002CB ; Bopomofo
0002D9 ; Bopomofo
0002EA..0002EB ; Bopomofo
003001..003003 ; Bopomofo
003008..003011 ; Bopomofo
003013..00301F ; Bopomofo
00302A..00302D ; Bopomofo
003030 ; Bopomofo
003037 ; Bopomofo
0030FB ; Bopomofo
003105..00312F ; Bopomofo
0031A0..0031BF ; Bopomofo
00FE45..00FE46 ; Bopomofo
00FF61..00FF65 ; Bopomofo
011000..01104D ; Brahmi
011052..011075 ; Brahmi
01107F ; Brahmi
002800..0028FF ; Braille
001A00..001A1B ; Buginese
001A1E..001A1F ; Buginese
00A9CF ; Buginese
001735..001736 ; Buhid
001740..001753 ; Buhid
001400..00167F ; Canadian_Aboriginal
0018B0..0018F5 ; Canadian_Aboriginal
011AB0..011ABF ; Canadian_Aboriginal
0000B7 ; Carian
00205A ; Carian
00205D ; Carian
002E31 ; Carian
0102A0..0102D0 ; Carian
000304 ; Caucasian_Albanian
000331 ; Caucasian_Albanian
00035E ; Caucasian_Albanian
010530..010563 ; Caucasian_Albanian
01056F ; Caucasian_Albanian
0009E6..0009EF ; Chakma
001040..001049 ; Chakma
011100..011134 ; Chakma
011136..011147 ; Chakma
00AA00..00AA36 ; Cham
