# emoji-data.txt
#
# NOTE: This file is vendored for vm-js RegExp Unicode property escape tables.
# Unicode v17.0.0
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Format: <code point range> ; <emoji property>
000023 ; Emoji
00002A ; Emoji
000030..000039 ; Emoji
0000A9 ; Emoji
0000AE ; Emoji
00203C ; Emoji
002049 ; Emoji
002122 ; Emoji
002139 ; Emoji
002194..002199 ; Emoji
0021A9..0021AA ; Emoji
00231A..00231B ; Emoji
002328 ; Emoji
0023CF ; Emoji
0023E9..0023F3 ; Emoji
0023F8..0023FA ; Emoji
0024C2 ; Emoji
0025AA..0025AB ; Emoji
0025B6 ; Emoji
0025C0 ; Emoji
0025FB..0025FE ; Emoji
002600..002604 ; Emoji
00260E ; Emoji
002611 ; Emoji
002614..002615 ; Emoji
002618 ; Emoji
00261D ; Emoji
002620 ; Emoji
002622..002623 ; Emoji
002626 ; Emoji
00262A ; Emoji
00262E..00262F ; Emoji
002638..00263A ; Emoji
002640 ; Emoji
002642 ; Emoji
002648..002653 ; Emoji
00265F..002660 ; Emoji
002663 ; Emoji
002665..002666 ; Emoji
002668 ; Emoji
00267B ; Emoji
00267E..00267F ; Emoji
002692..002697 ; Emoji
002699 ; Emoji
00269B..00269C ; Emoji
0026A0..0026A1 ; Emoji
0026A7 ; Emoji
0026AA..0026AB ; Emoji
0026B0..0026B1 ; Emoji
0026BD..0026BE ; Emoji
0026C4..0026C5 ; Emoji
0026C8 ; Emoji
0026CE..0026CF ; Emoji
0026D1 ; Emoji
0026D3..0026D4 ; Emoji
0026E9..0026EA ; Emoji
0026F0..0026F5 ; Emoji
0026F7..0026FA ; Emoji
0026FD ; Emoji
002702 ; Emoji
002705 ; Emoji
002708..00270D ; Emoji
00270F ; Emoji
002712 ; Emoji
002714 ; Emoji
002716 ; Emoji
00271D ; Emoji
002721 ; Emoji
002728 ; Emoji
002733..002734 ; Emoji
002744 ; Emoji
002747 ; Emoji
00274C ; Emoji
00274E ; Emoji
002753..002755 ; Emoji
002757 ; Emoji
002763..002764 ; Emoji
002795..002797 ; Emoji
0027A1 ; Emoji
0027B0 ; Emoji
0027BF ; Emoji
002934..002935 ; Emoji
002B05..002B07 ; Emoji
002B1B..002B1C ; Emoji
002B50 ; Emoji
002B55 ; Emoji
003030 ; Emoji
00303D ; Emoji
003297 ; Emoji
003299 ; Emoji
01F004 ; Emoji
01F0CF ; Emoji
01F170..01F171 ; Emoji
01F17E..01F17F ; Emoji
01F18E ; Emoji
01F191..01F19A ; Emoji
01F1E6..01F1FF ; Emoji
01F201..01F202 ; Emoji
01F21A ; Emoji
01F22F ; Emoji
01F232..01F23A ; Emoji
01F250..01F251 ; Emoji
01F300..01F321 ; Emoji
01F324..01F393 ; Emoji
01F396..01F397 ; Emoji
01F399..01F39B ; Emoji
01F39E..01F3F0 ; Emoji
01F3F3..01F3F5 ; Emoji
01F3F7..01F4FD ; Emoji
01F4FF..01F53D ; Emoji
01F549..01F54E ; Emoji
01F550..01F567 ; Emoji
